Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
28395,610.2909999999998,208.17811670852728,173.88874704163598,1.1971914241160242,0.5498121871383472,28715,190.1410972745107,0.7639225181598063,0.9888559986069998,0.9580271262501276,0.9133577547957626,0.007331506135183212,0.00314728916733569,0.8342223882455564,0.9987238890131684,SEKER
32258,654.808,220.80403007890376,186.277755809551,1.1853483477901257,0.5369189075061798,32612,202.6626784439278,0.7758056758056758,0.9891450999632038,0.9454081638315681,0.9178395809691825,0.0068449386223232616,0.0029965149595458053,0.8424294963936846,0.9985724116799217,SEKER
33159,653.8009999999999,222.44402868828985,189.98042001963083,1.1708787077389582,0.520175444011767,33415,205.4734777626379,0.788111422731378,0.992338770013467,0.9748103412811874,0.9237086694314788,0.006708405823103527,0.003012584024718656,0.853237705982873,0.9990378625753795,SEKER
33858,664.4599999999999,234.33500135412973,184.13929158842225,1.2725964096674276,0.6184869353613691,34142,207.627899150483,0.7812543264571508,0.9916817995430848,0.9636814093270455,0.8860302470850837,0.006921111741807836,0.002631175494360336,0.7850495987496545,0.9990513007796651,SEKER
34397,678.85,229.77470216151102,190.93159397655174,1.203439919899949,0.5563451176699462,34776,209.2740323600981,0.7722027658045977,0.9891016793190707,0.9379566908279493,0.91077925633866,0.006680079720949822,0.002835397361550748,0.8295188537768027,0.998276102944653,SEKER
34774,677.7259999999999,228.52221551731438,193.96029003283445,1.178190729033397,0.5287798580540847,35139,210.4177557351578,0.7805611672278339,0.9896126810666211,0.9513848244463001,0.9207759309475763,0.006571640177066612,0.002913864632283952,0.847828315012376,0.9989034605595879,SEKER
35122,679.818,231.7962315055011,193.1433258860201,1.2001255049438844,0.5529021551068831,35481,211.46801008707766,0.7843934250491335,0.9898819086271525,0.9550009059435813,0.912301329118282,0.0065997446473862855,0.0028200715387380762,0.832293715110984,0.9988569151091913,SEKER
35432,681.365,233.74223189494586,193.21880911615852,1.2097281468825616,0.5627428659505976,35757,212.39920797652772,0.790645780336502,0.9909108705987639,0.9590602448624284,0.9086899113378423,0.0065969245849781515,0.0027744960284630596,0.8257173549671758,0.9988935256732119,SEKER
35730,698.1690000000001,242.2163347048886,187.99091286471773,1.2884470372203185,0.6305752241370808,36142,213.29052705965952,0.7862943157060804,0.9886005201704389,0.9211317613421605,0.8805786253826701,0.0067790745789221545,0.002514332634686521,0.775418715480833,0.9990859465664644,SEKER
36076,693.745,243.52621854276308,189.1972144345256,1.2871554122539093,0.6296154171794358,36427,214.32076384677646,0.7591271594806726,0.9903642902242842,0.9419514307955499,0.8800726473282869,0.006750366408214965,0.0024979354008688084,0.7745278645754194,0.9969377328297141,SEKER
36365,690.321,239.1409014156703,193.83464308891996,1.2337366406992918,0.5856753153301525,36680,215.17749892657037,0.7843031531725834,0.9914122137404581,0.9589396712570786,0.8997937937540547,0.006576128184124028,0.002659022462369415,0.8096288712783144,0.9988688038640666,SEKER
36663,698.145,234.7081444232982,199.09311562703402,1.178886289885496,0.5295828281071551,37092,216.05735680282973,0.772259083728278,0.9884341637010676,0.9452498101284204,0.9205362572044726,0.006401771388683365,0.0028355905406371312,0.8473870008280189,0.9989729175033409,SEKER
36975,694.805,241.36787303421073,195.18917138786676,1.2365843418361604,0.5882499459839178,37252,216.9747270227172,0.7774226782447804,0.9925641576291205,0.9624810255153572,0.89893789216912,0.006527866748727809,0.00262947951932695,0.8080893339774604,0.9992706172013393,SEKER
37256,693.8059999999999,245.9339799235677,193.07607093553082,1.2737672707545744,0.6194035399438554,37502,217.79764112279364,0.7750686527419489,0.9934403498480081,0.972590417599765,0.88559393537437,0.006601191215470466,0.002504612887801258,0.7842766183718641,0.9989858877001563,SEKER
37539,701.891,239.57290117932854,199.71878446172673,1.1995511680336672,0.5523004458786717,37844,218.62328162803996,0.7850555241859589,0.9919405982454286,0.9575318218924534,0.9125543020593674,0.006381973445731866,0.0027300438510949993,0.8327553542070592,0.9989326578253681,SEKER
37861,712.99,253.52017894300644,190.3512936023889,1.3318542477182556,0.6604921966504493,38226,219.5589269495048,0.7478716049382717,0.990451525139957,0.9359121107765443,0.8660412274277527,0.006696077201949406,0.002323563161269327,0.7500274076045687,0.9989271887232561,SEKER
38122,710.41,246.9057229779711,196.83463061770507,1.254381519162219,0.6037078724401408,38481,220.31440698327896,0.7748373983739837,0.9906707206153686,0.9492211554053703,0.8923017430541105,0.00647672532862838,0.0025326910029734575,0.7962024006574039,0.99874157689724,SEKER
38354,715.5269999999999,253.6098213000785,192.8160003930118,1.3152944816983665,0.6495884662183491,38702,220.98377655106816,0.7963043703934393,0.9910082166296316,0.9413876042448216,0.8713533861513737,0.0066123434661333495,0.0023513239084050116,0.759256723557465,0.9986461786875159,SEKER
38628,720.5989999999999,251.41634811282194,196.67850322130562,1.2783112744656413,0.6229243538236736,39014,221.77172302624575,0.7402552604346326,0.9901061157533193,0.9348130715983092,0.8820895088601267,0.006508655589541833,0.002430645823586156,0.7780819016410997,0.994630867325484,SEKER
38855,727.3619999999999,255.88035937973493,193.43842311825867,1.3228000686466637,0.6546037901227258,39228,222.42239660314056,0.7897999837385153,0.9904914856734985,0.922901944240744,0.8692437244589701,0.0065855194795968325,0.0023191885450379516,0.7555846525113019,0.9994874302103157,SEKER
39122,725.817,245.3724593977744,203.20580179314882,1.2075071539913447,0.5605029263900956,39532,223.1852985058134,0.7907747660339983,0.9896286552666195,0.933204105641353,0.909577623558831,0.006271981478395134,0.0026481562173725666,0.8273314532789307,0.9990086485563646,SEKER
39341,732.7719999999999,262.04811885341684,191.55707001113967,1.367989805013085,0.6823778902389384,39772,223.80910823607252,0.7681388628553577,0.9891632304133561,0.9206986932073998,0.8540763780917112,0.006660941990631068,0.002186262249027159,0.7294464596142558,0.9978753200551912,SEKER
39686,715.976,239.59910805558445,211.26042405271693,1.13414099744397,0.4717645140081528,40005,224.78831057766254,0.7804523107177974,0.9920259967504061,0.9728598102568774,0.9381850892596564,0.006037371064243926,0.002885238622109036,0.8801912617091492,0.998260995496281,SEKER
40021,719.2689999999999,252.30996446311775,202.1951505923875,1.2478536884979923,0.598160934347345,40316,225.73506555217764,0.7823324732191728,0.9926828058339121,0.9721093365586158,0.8946736052716429,0.006304439280955442,0.0024916367558698634,0.8004408599697596,0.9988330795377695,SEKER
40388,729.945,261.22799581368815,197.1404287843859,1.3250858660726326,0.6561067720279905,40719,226.76771977678777,0.7845376845376846,0.991871116677718,0.9525371781323273,0.8680835263097988,0.006467960676777462,0.002265651939577798,0.7535690086504553,0.9985436424730837,SEKER
